product_code,crop_name,crop_group,crop_sequence,regime,system_class,total_units,total_samples,valid_dates,group_id,color,system_es,system_en,crop_sequence_en,label_es,label_en,primary_crop_es,primary_crop_en,primary_peak_date,primary_peak_ndvi,secondary_crop_es,secondary_crop_en,secondary_peak_date,secondary_peak_ndvi,seasonal_amplitude
20,Barbecho tradicional,Barbecho,Barbecho tradicional,S,dryland,54,54,71,20-s-dryland-barbecho-tradicional,#E69F00,Secano,Dryland,Traditional fallow,Barbecho tradicional · Secano,Traditional fallow · Dryland,Barbecho tradicional,Traditional fallow,2025-03-15,0.377,,,,,0.277
5,Cebada,Cereal de invierno,Cebada,S,dryland,41,41,71,5-s-dryland-cebada,#0072B2,Secano,Dryland,Barley,Cebada · Secano,Barley · Dryland,Cebada,Barley,2025-04-24,0.535,,,,,0.41
40,Guisante,Leguminosa,Guisante,S,dryland,5,5,69,40-s-dryland-guisante,#009E73,Secano,Dryland,Pea,Guisante · Secano,Pea · Dryland,Guisante,Pea,2025-04-24,0.662,,,,,0.508
62,Pastos permanentes de 5 o más años,Pasto permanente,Pastos permanentes de 5 o más años,S,dryland,6,6,72,62-s-dryland-pastos-permanentes-de-5-o-mas-anos,#CC79A7,Secano,Dryland,Permanent grassland (5+ years),Pastos permanentes de 5 o más años · Secano,Permanent grassland (5+ years) · Dryland,Pastos permanentes de 5 o más años,Permanent grassland (5+ years),2025-01-04,0.348,,,,,0.143
1,Trigo blando,Cereal de invierno,Trigo blando,S,dryland,15,15,71,1-s-dryland-trigo-blando,#D55E00,Secano,Dryland,Soft wheat,Trigo blando · Secano,Soft wheat · Dryland,Trigo blando,Soft wheat,2025-01-04,0.691,,,,,0.576
13,Triticale,Cereal de invierno,Triticale,S,dryland,27,27,68,13-s-dryland-triticale,#56B4E9,Secano,Dryland,Triticale,Triticale · Secano,Triticale · Dryland,Triticale,Triticale,2025-04-16,0.707,,,,,0.589
53,Yeros,Leguminosa,Yeros,S,dryland,4,4,70,53-s-dryland-yeros,#F0E442,Secano,Dryland,Bitter vetch,Yeros · Secano,Bitter vetch · Dryland,Yeros,Bitter vetch,2025-01-04,0.547,,,,,0.435
60,Alfalfa,Forrajero perenne,Alfalfa,R,irrigated_non_pivot,10,10,73,60-r-irrigated-non-pivot-alfalfa,#6A3D9A,Regadío sin pivote,"Irrigated, non-pivot",Alfalfa,Alfalfa · Regadío sin pivote,"Alfalfa · Irrigated, non-pivot",Alfalfa,Alfalfa,2025-09-06,0.94,,,,,0.78
20,Barbecho tradicional,Barbecho,Barbecho tradicional,R,irrigated_non_pivot,4,4,68,20-r-irrigated-non-pivot-barbecho-tradicional,#B15928,Regadío sin pivote,"Irrigated, non-pivot",Traditional fallow,Barbecho tradicional · Regadío sin pivote,"Traditional fallow · Irrigated, non-pivot",Barbecho tradicional,Traditional fallow,2025-04-16,0.546,,,,,0.414
5,Cebada,Cereal de invierno,Cebada,R,irrigated_non_pivot,3,3,67,5-r-irrigated-non-pivot-cebada,#1B9E77,Regadío sin pivote,"Irrigated, non-pivot",Barley,Cebada · Regadío sin pivote,"Barley · Irrigated, non-pivot",Cebada,Barley,2025-04-16,0.885,,,,,0.724
5,Cebada,Cereal de invierno,Cebada → Maíz,R,irrigated_non_pivot,15,15,72,5-r-irrigated-non-pivot-cebada-maiz,#7570B3,Regadío sin pivote,"Irrigated, non-pivot",Barley → Maize,Cebada → Maíz · Regadío sin pivote,"Barley → Maize · Irrigated, non-pivot",Cebada,Barley,2025-04-24,0.925,Maíz,Maize,2025-09-11,0.916,0.743
68,Festuca,Forrajero,Festuca,R,irrigated_non_pivot,4,4,67,68-r-irrigated-non-pivot-festuca,#E7298A,Regadío sin pivote,"Irrigated, non-pivot",Fescue,Festuca · Regadío sin pivote,"Fescue · Irrigated, non-pivot",Festuca,Fescue,2025-04-24,0.924,,,,,0.383
40,Guisante,Leguminosa,Guisante → Maíz,R,irrigated_non_pivot,8,8,69,40-r-irrigated-non-pivot-guisante-maiz,#66A61E,Regadío sin pivote,"Irrigated, non-pivot",Pea → Maize,Guisante → Maíz · Regadío sin pivote,"Pea → Maize · Irrigated, non-pivot",Guisante,Pea,2025-04-24,0.56,Maíz,Maize,2025-08-22,0.907,0.723
4,Maíz,Cultivo de verano,Maíz,R,irrigated_non_pivot,34,34,71,4-r-irrigated-non-pivot-maiz,#E6AB02,Regadío sin pivote,"Irrigated, non-pivot",Maize,Maíz · Regadío sin pivote,"Maize · Irrigated, non-pivot",Maíz,Maize,2025-07-08,0.92,,,,,0.788
13,Triticale,Cereal de invierno,Triticale,R,irrigated_non_pivot,4,4,69,13-r-irrigated-non-pivot-triticale,#A6761D,Regadío sin pivote,"Irrigated, non-pivot",Triticale,Triticale · Regadío sin pivote,"Triticale · Irrigated, non-pivot",Triticale,Triticale,2025-04-24,0.936,,,,,0.821
52,Veza,Leguminosa,Veza → Maíz,R,irrigated_non_pivot,3,3,63,52-r-irrigated-non-pivot-veza-maiz,#1F78B4,Regadío sin pivote,"Irrigated, non-pivot",Vetch → Maize,Veza → Maíz · Regadío sin pivote,"Vetch → Maize · Irrigated, non-pivot",Veza,Vetch,2025-05-04,0.888,Maíz,Maize,2025-08-07,0.936,0.785
4,Maíz,Cultivo de verano,Maíz,R,pivot,6,5,73,4-r-pivot-maiz,#FB9A99,Pivote central,Centre pivot,Maize,Maíz · Pivote central,Maize · Centre pivot,Maíz,Maize,2025-07-18,0.921,,,,,0.791
